i,j,distance,min,max
351,948,-1,27457,27627
351,2879,-1,27457,27627
351,1721,-1,27456,27627
351,869,-1,27455,27627
351,1190,-1,27453,27627
351,1945,-1,27452,27627
351,2722,-1,27452,27627
351,2413,-1,27451,27627
351,2433,-1,27450,27627
351,3025,-1,27450,27627
351,2047,-1,27449,27627
351,2984,-1,27449,27627
351,3047,-1,27448,27627
351,1669,-1,27447,27627
351,1918,-1,27446,27627
351,2301,-1,27446,27627
300,351,-1,27445,27627
351,2945,-1,27445,27627
351,1638,-1,27444,27627
99,351,-1,27443,27627
351,1079,-1,27443,27627
351,1886,-1,27443,27627
351,2052,-1,27443,27627
351,3021,-1,27442,27627
351,1162,-1,27441,27627
351,1406,-1,27441,27627
351,2470,-1,27441,27627
351,2177,-1,27440,27627
351,2247,-1,27440,27627
351,2378,-1,27440,27627
351,2165,-1,27439,27627
351,1503,-1,27438,27627
351,1752,-1,27438,27627
351,2021,-1,27436,27627
351,1783,-1,27435,27627
351,1321,-1,27433,27627
351,1484,-1,27433,27627
351,2437,-1,27433,27627
351,1599,-1,27431,27627
351,1040,-1,27430,27627
351,1054,-1,27430,27627
323,351,-1,27429,27627
351,1774,-1,27428,27627
351,3005,-1,27428,27627
351,2024,-1,27427,27627
351,1098,-1,27426,27627
351,2593,-1,27426,27627
351,994,-1,27425,27627
351,1191,-1,27425,27627
351,1840,-1,27425,27627
351,1595,-1,27424,27627
351,2210,-1,27424,27627
351,2349,-1,27424,27627
351,1144,-1,27421,27627
351,1928,-1,27421,27627
351,2235,-1,27420,27627
351,2835,-1,27420,27627
310,351,-1,27418,27627
351,3019,-1,27416,27627
351,1061,-1,27415,27627
351,2906,-1,27415,27627
24,351,-1,27412,27627
112,351,-1,27411,27627
351,995,-1,27411,27627
351,1524,-1,27411,27627
351,1869,-1,27411,27627
351,2343,-1,27410,27627
351,2735,-1,27408,27627
351,1173,-1,27407,27627
351,1799,-1,27407,27627
351,1111,-1,27406,27627
351,1391,-1,27405,27627
351,2570,-1,27404,27627
351,2834,-1,27402,27627
351,1988,-1,27400,27627
351,2515,-1,27400,27627
351,2523,-1,27400,27627
351,3003,-1,27399,27627
113,351,-1,27398,27627
351,1745,-1,27397,27627
77,351,-1,27396,27627
351,2597,-1,27396,27627
351,2175,-1,27395,27627
351,1013,-1,27394,27627
351,1698,-1,27393,27627
351,934,-1,27392,27627
351,2027,-1,27392,27627
351,1062,-1,27391,27627
351,1099,-1,27391,27627
351,1143,-1,27391,27627
351,1881,-1,27391,27627
351,1058,-1,27390,27627
351,2481,-1,27390,27627
351,1328,-1,27389,27627
351,1001,-1,27387,27627
351,1627,-1,27387,27627
351,2326,-1,27387,27627
351,2919,-1,27384,27627
351,1203,-1,27383,27627
351,1975,-1,27382,27627
351,1091,-1,27380,27627
351,1769,-1,27380,27627
351,2707,-1,27377,27627
145,351,-1,27376,27627
351,1155,-1,27376,27627
351,1722,-1,27376,27627
351,2435,-1,27376,27627
351,1213,-1,27375,27627
351,991,-1,27374,27627
53,351,-1,27373,27627
351,1949,-1,27373,27627
351,2806,-1,27371,27627
351,959,-1,27369,27627
351,2192,-1,27369,27627
351,2389,-1,27368,27627
351,1002,-1,27367,27627
351,1063,-1,27367,27627
351,2146,-1,27367,27627
351,2890,-1,27367,27627
351,2636,-1,27366,27627
351,2554,-1,27365,27627
351,2163,-1,27364,27627
351,1083,-1,27363,27627
351,1792,-1,27363,27627
351,2985,-1,27363,27627
351,1418,-1,27362,27627
351,2822,-1,27362,27627
150,351,-1,27360,27627
351,1116,-1,27360,27627
351,3069,-1,27360,27627
351,2661,-1,27358,27627
351,1133,-1,27357,27627
351,1536,-1,27357,27627
351,698,-1,27356,27627
351,1072,-1,27356,27627
351,996,-1,27355,27627
351,1854,-1,27355,27627
351,2181,-1,27355,27627
351,2238,-1,27355,27627
351,1561,-1,27352,27627
351,1692,-1,27352,27627
351,1920,-1,27352,27627
351,2383,-1,27352,27627
351,2388,-1,27350,27627
351,2927,-1,27350,27627
351,1112,-1,27348,27627
12,351,-1,27345,27627
351,2182,-1,27345,27627
351,2154,-1,27343,27627
351,1065,-1,27342,27627
351,1228,-1,27342,27627
351,1244,-1,27341,27627
351,1327,-1,27341,27627
351,1392,-1,27341,27627
351,2794,-1,27341,27627
351,1149,-1,27340,27627
351,2266,-1,27340,27627
351,2355,-1,27340,27627
351,1357,-1,27339,27627
351,2563,-1,27339,27627
351,1022,-1,27337,27627
351,2103,-1,27337,27627
86,351,-1,27336,27627
351,1826,-1,27336,27627
351,2009,-1,27335,27627
351,2742,-1,27334,27627
351,1790,-1,27333,27627
351,1197,-1,27332,27627
351,2309,-1,27331,27627
351,2392,-1,27331,27627
351,2575,-1,27329,27627
85,351,-1,27326,27627
351,1707,-1,27326,27627
351,2315,-1,27325,27627
336,351,-1,27323,27627
351,2380,-1,27323,27627
35,351,-1,27322,27627
351,2174,-1,27322,27627
351,2255,-1,27322,27627
351,1296,-1,27321,27627
351,2902,-1,27321,27627
351,1905,-1,27319,27627
351,2703,-1,27319,27627
97,351,-1,27318,27627
339,351,-1,27316,27627
351,1221,-1,27316,27627
351,1339,-1,27316,27627
30,351,-1,27315,27627
309,351,-1,27313,27627
351,366,-1,27312,27627
351,924,-1,27312,27627
351,1216,-1,27312,27627
351,2673,-1,27312,27627
351,2568,-1,27308,27627
351,2316,-1,27304,27627
351,2684,-1,27302,27627
351,1068,-1,27301,27627
93,351,-1,27300,27627
351,1831,-1,27300,27627
351,2312,-1,27300,27627
351,3016,-1,27299,27627
351,1953,-1,27297,27627
351,2304,-1,27296,27627
351,2671,-1,27295,27627
351,1151,-1,27294,27627
351,2106,-1,27294,27627
346,351,-1,27292,27627
351,2797,-1,27292,27627
351,2901,-1,27289,27627
351,1865,-1,27288,27627
351,1899,-1,27288,27627
351,1225,-1,27286,27627
351,1565,-1,27286,27627
351,1217,-1,27284,27627
351,2968,-1,27283,27627
351,2720,-1,27282,27627
351,1973,-1,27281,27627
351,1010,-1,27279,27627
351,1159,-1,27279,27627
351,2686,-1,27279,27627
351,1890,-1,27278,27627
351,1823,-1,27276,27627
351,1910,-1,27275,27627
351,2096,-1,27275,27627
18,351,-1,27273,27627
351,913,-1,27273,27627
351,1785,-1,27273,27627
351,1861,-1,27273,27627
351,1996,-1,27273,27627
351,2692,-1,27273,27627
351,740,-1,27270,27627
351,2191,-1,27270,27627
351,2926,-1,27270,27627
351,419,-1,27269,27627
351,2079,-1,27269,27627
351,971,-1,27268,27627
351,1819,-1,27268,27627
351,1147,-1,27267,27627
351,1308,-1,27267,27627
351,1853,-1,27267,27627
351,2001,-1,27267,27627
351,938,-1,27266,27627
351,984,-1,27266,27627
351,2676,-1,27266,27627
94,351,-1,27265,27627
351,2337,-1,27265,27627
87,351,-1,27264,27627
129,351,-1,27264,27627
351,2160,-1,27264,27627
351,2425,-1,27264,27627
351,3053,-1,27264,27627
325,351,-1,27262,27627
351,1034,-1,27262,27627
351,552,-1,27260,27627
351,2144,-1,27260,27627
351,1719,-1,27259,27627
351,1622,-1,27258,27627
351,2836,-1,27258,27627
351,2126,-1,27257,27627
351,2710,-1,27257,27627
351,1021,-1,27256,27627
351,1870,-1,27256,27627
351,1200,-1,27255,27627
351,3012,-1,27255,27627
351,3048,-1,27255,27627
351,1325,-1,27254,27627
351,2132,-1,27254,27627
179,351,-1,27253,27627
351,1852,-1,27253,27627
351,2152,-1,27253,27627
351,2679,-1,27253,27627
351,1694,-1,27251,27627
351,1976,-1,27251,27627
351,3084,-1,27251,27627
351,2063,-1,27249,27627
351,2114,-1,27249,27627
351,3055,-1,27249,27627
50,351,-1,27248,27627
351,1400,-1,27248,27627
351,2833,-1,27246,27627
351,2837,-1,27244,27627
351,1885,-1,27243,27627
351,488,-1,27242,27627
351,791,-1,27242,27627
351,2386,-1,27242,27627
351,2924,-1,27242,27627
351,1902,-1,27241,27627
351,2450,-1,27240,27627
351,2230,-1,27238,27627
45,351,-1,27237,27627
351,1417,-1,27236,27627
351,3065,-1,27236,27627
351,2353,-1,27235,27627
351,2759,-1,27235,27627
351,1377,-1,27233,27627
351,2463,-1,27233,27627
33,351,-1,27231,27627
351,1188,-1,27229,27627
351,2031,-1,27226,27627
351,2057,-1,27225,27627
351,2630,-1,27225,27627
351,1828,-1,27224,27627
98,351,-1,27223,27627
351,420,-1,27223,27627
351,2017,-1,27223,27627
66,351,-1,27221,27627
351,1272,-1,27221,27627
351,2143,-1,27221,27627
351,1970,-1,27220,27627
351,2417,-1,27219,27627
351,1249,-1,27218,27627
351,2561,-1,27218,27627
351,2917,-1,27218,27627
351,1288,-1,27217,27627
351,2065,-1,27217,27627
351,1029,-1,27216,27627
40,351,-1,27215,27627
351,2440,-1,27215,27627
154,351,-1,27214,27627
351,1302,-1,27213,27627
351,1488,-1,27213,27627
351,1358,-1,27212,27627
351,1120,-1,27211,27627
351,2172,-1,27211,27627
351,1956,-1,27210,27627
351,1610,-1,27209,27627
351,1843,-1,27207,27627
351,2657,-1,27205,27627
28,351,-1,27204,27627
351,3067,-1,27204,27627
351,526,-1,27203,27627
351,3064,-1,27203,27627
351,1903,-1,27202,27627
351,2074,-1,27202,27627
351,2781,-1,27202,27627
351,2245,-1,27201,27627
109,351,-1,27198,27627
351,1827,-1,27198,27627
351,974,-1,27196,27627
351,2751,-1,27196,27627
351,2789,-1,27194,27627
351,1220,-1,27193,27627
351,2462,-1,27193,27627
351,1835,-1,27192,27627
351,2472,-1,27192,27627
351,1475,-1,27190,27627
351,1375,-1,27188,27627
351,1016,-1,27187,27627
351,513,-1,27186,27627
351,3051,-1,27186,27627
351,2305,-1,27185,27627
351,1042,-1,27184,27627
351,1135,-1,27184,27627
101,351,-1,27182,27627
351,2830,-1,27182,27627
351,2967,-1,27181,27627
351,2649,-1,27180,27627
91,351,-1,27179,27627
351,2853,-1,27178,27627
351,1126,-1,27177,27627
351,1089,-1,27176,27627
351,2650,-1,27176,27627
351,961,-1,27175,27627
351,595,-1,27174,27627
351,1402,-1,27174,27627
351,1805,-1,27172,27627
351,1914,-1,27172,27627
351,2404,-1,27172,27627
351,1862,-1,27170,27627
351,2171,-1,27170,27627
351,2351,-1,27168,27627
322,351,-1,27167,27627
351,479,-1,27166,27627
351,480,-1,27166,27627
351,2005,-1,27166,27627
351,997,-1,27165,27627
351,2199,-1,27165,27627
104,351,-1,27164,27627
351,1340,-1,27164,27627
351,1352,-1,27164,27627
351,1367,-1,27164,27627
351,2961,-1,27164,27627
351,2350,-1,27162,27627
351,2996,-1,27162,27627
351,2683,-1,27161,27627
351,876,-1,27160,27627
351,2313,-1,27160,27627
351,1893,-1,27159,27627
351,1872,-1,27158,27627
351,2953,-1,27158,27627
351,1107,-1,27157,27627
351,1868,-1,27156,27627
75,351,-1,27155,27627
351,2660,-1,27153,27627
351,2715,-1,27151,27627
175,351,-1,27149,27627
351,1889,-1,27149,27627
63,351,-1,27148,27627
83,351,-1,27148,27627
14,351,-1,27147,27627
351,2581,-1,27147,27627
134,351,-1,27145,27627
351,2695,-1,27142,27627
351,2887,-1,27141,27627
351,2999,-1,27141,27627
130,351,-1,27138,27627
351,2084,-1,27137,27627
351,2713,-1,27137,27627
61,351,-1,27136,27627
351,1555,-1,27136,27627
351,2361,-1,27136,27627
351,929,-1,27135,27627
351,2382,-1,27135,27627
351,3075,-1,27135,27627
351,2867,-1,27134,27627
351,2176,-1,27132,27627
256,351,-1,27131,27627
351,1181,-1,27131,27627
351,2631,-1,27131,27627
351,2938,-1,27127,27627
351,1901,-1,27126,27627
351,565,-1,27121,27627
351,2169,-1,27118,27627
351,2761,-1,27116,27627
351,1366,-1,27115,27627
351,2418,-1,27115,27627
351,969,-1,27114,27627
351,1050,-1,27114,27627
351,2118,-1,27114,27627
120,351,-1,27112,27627
351,398,-1,27111,27627
351,2028,-1,27108,27627
117,351,-1,27105,27627
351,2049,-1,27105,27627
351,2358,-1,27105,27627
351,3007,-1,27104,27627
351,2533,-1,27103,27627
351,2609,-1,27101,27627
351,1161,-1,27098,27627
351,1671,-1,27098,27627
351,2464,-1,27098,27627
351,2474,-1,27098,27627
351,891,-1,27097,27627
351,2694,-1,27097,27627
351,1351,-1,27096,27627
351,499,-1,27095,27627
351,1590,-1,27094,27627
80,351,-1,27092,27627
351,1875,-1,27091,27627
351,2863,-1,27090,27627
351,1820,-1,27089,27627
81,351,-1,27087,27627
351,2627,-1,27087,27627
351,1533,-1,27086,27627
351,1594,-1,27086,27627
351,3086,-1,27086,27627
237,351,-1,27085,27627
56,351,-1,27083,27627
351,1844,-1,27083,27627
351,2653,-1,27082,27627
351,975,-1,27081,27627
351,2012,-1,27081,27627
351,1171,-1,27080,27627
351,2689,-1,27080,27627
351,2872,-1,27080,27627
351,1983,-1,27078,27627
351,522,-1,27076,27627
39,351,-1,27075,27627
55,351,-1,27075,27627
67,351,-1,27075,27627
351,2495,-1,27075,27627
4,351,-1,27071,27627
351,985,-1,27071,27627
351,1113,-1,27071,27627
351,920,-1,27070,27627
351,2484,-1,27070,27627
351,3010,-1,27068,27627
138,351,-1,27067,27627
276,351,-1,27067,27627
351,2904,-1,27065,27627
351,2452,-1,27063,27627
351,944,-1,27061,27627
351,1274,-1,27060,27627
260,351,-1,27059,27627
351,2730,-1,27059,27627
351,378,-1,27055,27627
351,2233,-1,27054,27627
351,2253,-1,27054,27627
351,2898,-1,27054,27627
64,351,-1,27051,27627
351,1452,-1,27049,27627
351,2610,-1,27047,27627
351,2866,-1,27047,27627
351,2975,-1,27044,27627
351,1218,-1,27043,27627
351,2544,-1,27043,27627
351,3077,-1,27043,27627
96,351,-1,27042,27627
351,476,-1,27042,27627
151,351,-1,27041,27627
351,1713,-1,27041,27627
351,2299,-1,27041,27627
7,351,-1,27039,27627
351,1704,-1,27038,27627
351,1741,-1,27036,27627
351,2405,-1,27036,27627
351,865,-1,27035,27627
351,2545,-1,27034,27627
206,351,-1,27033,27627
351,2329,-1,27033,27627
351,2477,-1,27033,27627
301,351,-1,27032,27627
351,2137,-1,27031,27627
351,1095,-1,27030,27627
351,1124,-1,27030,27627
351,2548,-1,27029,27627
351,1316,-1,27027,27627
351,1874,-1,27026,27627
351,2969,-1,27024,27627
351,2385,-1,27023,27627
351,1014,-1,27020,27627
351,1084,-1,27019,27627
351,2746,-1,27019,27627
351,2018,-1,27016,27627
351,977,-1,27015,27627
351,1961,-1,27014,27627
10,351,-1,27013,27627
248,351,-1,27013,27627
351,1035,-1,27013,27627
19,351,-1,27012,27627
351,2037,-1,27012,27627
36,351,-1,27011,27627
351,2680,-1,27011,27627
351,2293,-1,27010,27627
351,2536,-1,27010,27627
27,351,-1,27009,27627
351,1784,-1,27009,27627
351,2080,-1,27009,27627
351,2221,-1,27008,27627
351,2798,-1,27005,27627
225,351,-1,27002,27627
351,2003,-1,27002,27627
47,351,-1,26999,27627
351,2046,-1,26999,27627
351,2944,-1,26999,27627
195,351,-1,26997,27627
351,605,-1,26997,27627
351,395,-1,26996,27627
351,2166,-1,26995,27627
89,351,-1,26994,27627
351,2729,-1,26993,27627
351,2983,-1,26993,27627
351,2384,-1,26992,27627
69,351,-1,26991,27627
351,1394,-1,26989,27627
351,2748,-1,26988,27627
72,351,-1,26987,27627
319,351,-1,26987,27627
351,1867,-1,26987,27627
351,2099,-1,26987,27627
351,898,-1,26986,27627
351,2550,-1,26984,27627
351,2263,-1,26983,27627
351,2590,-1,26983,27627
351,1938,-1,26982,27627
